query_index,facts_file,case_count,additional_cases_not_used,triples_after_cleanup,rdfstar_reification_blocks_removed,explicit_task_evidence,Reference,informative__Reference,Publication Year,informative__Publication Year,Task,informative__Task,Case study,informative__Case study,Case study type,informative__Case study type,Input for the model,informative__Input for the model,Number of input variables,informative__Number of input variables,Input type,informative__Input type,Data Pre-processing,informative__Data Pre-processing,Model Approach,informative__Model Approach,Model Type,informative__Model Type,Models,informative__Models,Online/Off-line,informative__Online/Off-line,Number of failure modes,informative__Number of failure modes,Performance indicator,informative__Performance indicator,Performance,informative__Performance,Complementary notes,informative__Complementary notes,Study title,informative__Study title,Publication identifier,informative__Publication identifier
98,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fa83aff3fe09.ttl,1,0,158,143,True,1,True,2026,True,Health assessment,True,induction motor,True,Maintainable item,False,Not reported,False,3,True,"FactsCurrentSignatureData, vibration signal, stator current signal",True,yes,True,Multi model,True,Not reported,False,"machine learning / AI predictive diagnostic model, adaptive hybrid convolutional neural network - long short-term memory (CNN-LSTM)",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsAdaptiveEvaluation, FactsRepeatableExperimentalProtocol, FactsSensorPlacementDetail",True,FactsPaper1_1,False,urn:ontocast:facts:FactsPaper1_1,False
99,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_fb9baedee0bb.ttl,4,3,195,179,True,1,True,2021,False,Remaining useful life estimation,True,components operating under high temperatures,True,Maintainable item,False,Not reported,False,7,True,"Creep activation energy (Qc), Larson-Miller parameter (P_LM), Manson-Succop parameter (P_MS), Orr-Sherby-Dorn parameter (P_OSD), Rupture time (tr), Stress (Ï), Temperature (T)",True,yes,True,Multi model,True,Predictive maintenance system module,True,"Larson-Miller model, Manson-Succop model, Time-Temperature-Parameter method for creep rupture, Probabilistic framework for RUL under creep conditions",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: Larson-Miller constant (C_LM), Manson-Succop constant (C_MS), Orr-Sherby-Dorn constant (C_OSD), FactsDesignDetailCodeAgnosticity, OSD limitations, Assumption: Qc constant over creep curve, Recommendation to apply probabilistic framework",True,Zhang et al. - probabilistic treatment (referenced in text),True,urn:ontocast:facts:FactsLouEtAlArticle,False
100,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ff6a373cd570.ttl,1,0,183,167,True,1,True,2026,True,Health assessment,True,electric drive,True,Maintainable item,False,Not reported,False,2,True,"FactsTemperature, FactsVibration",False,yes,True,Single model,True,Not reported,False,FactssimulationModelCadFem,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsHiddenDefects, FactsnoveltyStructuralOptimisationCadFem",True,FactsChenHuStudy,False,urn:ontocast:facts:FactsChenHuStudy,False
101,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_01ed610980f6.ttl,1,0,184,168,True,1,True,2021,False,Fault feature extraction,True,switch machines,True,Maintainable item,False,Not reported,False,5,True,"empirical mode decomposition, time-domain features, kurtosis, degradation evolution of turnout machines, variance",True,no,False,Multi model,True,"ScholarlyArticle, Algorithm",True,"UMAPand K-Means++ Based Degradation Condition Identification for Switch Machines, Factsarticle_1_5, S700K turnout switch machines, UMAP + K-means++ framework",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Untitled extracted case,False,urn:ontocast:facts:unknown,False
102,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0274d4e4b6b4.ttl,1,0,209,188,True,1,True,2026,True,Remaining useful life estimation,True,distributed PV plants,True,Maintainable item,False,Not reported,False,1,True,FactssignalTypes,False,yes,True,Single model,True,Not reported,False,PdM framework,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsrecoveryFactorR,True,case study,True,urn:ontocast:facts:Predictive_maintenance_case,False
103,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02b1e1db1ebc.ttl,1,0,193,178,True,1,True,2021,False,Remaining useful life estimation,True,power electronic components,True,Maintainable item,False,Not reported,False,2,True,"AC output power, Factsfeature2_9",True,yes,True,Single model,True,Predictive maintenance case,True,PCA-OCSVM detection model,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: AC/DC ratio threshold, module degradation, thermal stress",True,Factsarticle1_210,False,urn:ontocast:facts:Factsarticle1_210,False
104,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02cb90b55b51.ttl,1,0,122,106,True,1,True,2021,False,Remaining useful life estimation,True,state of health,True,Maintainable item,False,Not reported,False,4,True,"FactsbatteryInternalResistance, state of health, FactsurbanTerrainRoads, FactszAxisVibrations",True,yes,True,Multi model,True,Predictive Maintenance Article,True,"BO-GPR, Factspaper1_15",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: state of health,True,Factspaper1_15,False,urn:ontocast:facts:Factspaper1_15,False
105,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_02fa479982bb.ttl,1,0,149,134,True,1,True,2021,False,Fault detection,True,induction motor,True,Maintainable item,False,Not reported,False,2,True,"time-domain features, Factsvariable_1",True,yes,True,Single model,True,"Predictive maintenance case, Predictive maintenance system module, Algorithm",True,CNN-LSTM model,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: Factsdesign_detail_1,True,Factsarticle1_82,False,urn:ontocast:facts:Factsarticle1_82,False
106,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_036cad9d17bd.ttl,1,0,240,225,True,1,True,2021,False,Remaining useful life estimation,True,lithium-ion battery,True,Maintainable item,False,Not reported,False,2,True,"capacity degradation, capacity sequence",True,yes,True,Multi model,True,"Predictive Maintenance Article, Predictive maintenance system module, predictive maintenance module function",True,"VMD-LSTM, Li-ion battery RUL prediction framework",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: single-point query attention, final hidden state as Query, bidirectional temporal memory",True,VMD-LSTM,True,urn:ontocast:facts:Factsdoc1_46,False
107,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0427cffaf5f0.ttl,1,0,343,325,True,1,True,2026,True,Fault detection,True,analog gauge,True,Maintainable item,False,Not reported,False,3,True,"flow rate, pressure, temperature",True,yes,True,Single model,True,Algorithm,True,the model,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsaspectRatioThreshold,True,Robust Analog Gauge Reading via Virtual Point-Based Geometric Rectification and P2-YOLO-Pose,True,urn:ontocast:facts:Factsyear1_183,False
108,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0565684ca025.ttl,2,1,328,313,False,1,True,2021,False,One step future state forecast,False,ultra-high voltage gas-insulated switchgear (GIS),True,Maintainable item,False,Not reported,False,6,True,"C (speed of propagation), SF6 gas temperature, T (absolute temperature), Î» (wavelength), Ï (angular frequency), SF6 gas density",True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsKeywords, design details: sensors, data acquisition, transmission, software, threshold alarms, FactsSurgeArresterBehavior",True,FactsArticleDevCm,False,urn:ontocast:facts:FactsArticleDevCm,False
109,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0569999cb923.ttl,1,0,164,148,True,1,True,2025,True,Remaining useful life estimation,True,Lithium-ion battery,True,Maintainable item,False,Not reported,False,1,True,InformationContentEntity,True,yes,True,Single model,True,"Predictive maintenance system module, Remaining useful life estimation, Health assessment, Algorithm",True,remaining useful life,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: Factsdetail1_25,True,International Journal of Power Electronics and Drive System (IJPEDS),True,urn:ontocast:facts:Factsarticle1_167,False
110,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0593a9919b79.ttl,1,0,145,130,True,1,True,2021,False,Health assessment,True,FactspolymericZincOxideSurgeArrester,False,Maintainable item,False,Not reported,False,1,True,leakage current,True,yes,True,Single model,True,"Fault detection, Descriptive Information Content Entity, Health assessment, Performance value, Maintainable item, Performance indicator, Data variable, Predictive maintenance system module",True,leakage current,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactselectricalStress, humidity",True,Factsarticle1_28,False,urn:ontocast:facts:Factsarticle1_28,False
111,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_06390a092d7f.ttl,1,0,157,141,True,1,True,2021,False,Fault identification,True,industrial systems,True,Maintainable item,False,Not reported,False,6,True,"vibration data, data from the different states, physics laws, simulations based on a physics model, nodes representing components, edges capturing physical interactions",True,yes,True,Multi model,True,"Fault identification, DefinedTerm, Fault detection, predictive maintenance module function, Predictive maintenance system module",True,"Factsarticle_1_13, monitor industrial systems online without relying on intrusive sensors, AI models",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: insufficient physical representativeness, lack of data, high frequency of phenomena, difficulty of placing accelerometers in optimal locations, vibration data, embedding human knowledge",True,Untitled extracted case,False,urn:ontocast:facts:unknown,False
112,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_06c8822b55d2.ttl,1,0,282,267,False,1,True,2021,False,One step future state forecast,False,Not reported,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,no,False,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Untitled extracted case,False,urn:ontocast:facts:unknown,False
113,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0761d601b305.ttl,1,0,232,217,True,1,True,2025,True,Fault detection,True,bearing,True,Maintainable item,False,Not reported,False,6,True,"time-domain features, acoustic signals, vibration data, Fourier transform-encoded representations, gray texture images, raw data",True,yes,True,Multi model,True,"Predictive Maintenance Article, predictive maintenance module function, Predictive maintenance system module",True,"K-Nearest Neighbor, Random Forest, CNN",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: attention mechanism, bidirectional feature interaction modules, feature-level fusion, vibro-acoustic spectrogram fusion",True,CNN,True,urn:ontocast:facts:Factsmodel1_58,False
114,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_08257ce5150f.ttl,2,1,249,233,False,1,True,2021,False,One step future state forecast,False,FactsSm,False,Maintainable item,False,Not reported,False,3,True,"SM capacitance, FactsEsr, FactsStandardElectricalMeasurements",True,yes,True,Multi model,True,"Predictive maintenance system module, Algorithm",True,"FactsEstimatorModule, Parametric adaptive linear neuron (ADALINE) estimator mapped to MMC physical equations for online submodule capacitance condition monitoring",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: relatively high computational burden, FactsNonInvasiveEstimation, aging of SM capacitors, FactsdesignDetailDcLinkFluctuations, FactsdesignDetailFastConvergence, FactsdesignDetailGridUnbalances, FactsdesignDetailHarmonicPerturbations, FactsdesignDetailMeasurementNoise, Factsdesign_detail_robust_20pct_cap_reduction, Factsdesign_detail_steady_state_error_within_1pct",True,FactsThisPaper_1,False,urn:ontocast:facts:FactsThisPaper_1,False
115,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0c0922d4a23b.ttl,1,0,251,235,False,1,True,2021,False,One step future state forecast,False,Not reported,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,no,False,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Untitled extracted case,False,urn:ontocast:facts:unknown,False
116,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0c556dd91c12.ttl,1,0,193,176,True,1,True,2021,False,Health assessment,True,RSS,True,Maintainable item,False,Not reported,False,1,True,potential sensor signal,True,yes,True,Multi model,True,"Predictive Maintenance Article, Predictive maintenance system module",True,"Structural analysis and simulation model of the sealing system, sensor placement case for RSS sealing lip, generalized Maxwell model, surface strain-based determination, parametric FE model, Mooney-Rivlin, RSS sealing system",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: radial force, deformation state, elastomer preload, operational conditions, sensor positions, FactsstateI",True,Structural analysis and simulation model of the sealing system,True,urn:ontocast:facts:Factsarticle1_213,False
117,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0cf575569a46.ttl,1,0,222,208,True,1,True,2021,False,Fault detection,True,wind turbine,True,Maintainable item,False,Not reported,False,1,True,SCADA data,True,no,False,Multi model,True,Not reported,False,"Autoencoder, Isolation Forest, One-Class SVM",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Factsarticle1_69,False,urn:ontocast:facts:Factsarticle1_69,False
118,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0d06342b9b75.ttl,2,1,162,147,True,1,True,2021,False,Fault detection,True,Factsitem2_18,False,Maintainable item,False,Not reported,False,1,True,Factsvalue3_13,False,yes,True,Single model,True,"Predictive maintenance case, Fault detection, Predictive maintenance system module, Predictive Maintenance Article, classification, sequential pattern discovery, Algorithm, function, predictive maintenance module function, Information Processing Artifact, regression, data mining technique fucntion, association discovery, clustering",True,Factsdoc1_104,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: Factsvalue3_13,True,Deep Learning Enhanced Predictive Maintenance Framework Using Industrial Internet of Things Sensors for Smart Manufacturing Systems,True,urn:ontocast:facts:Factsarticle_1_18,False
119,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0e2936cf44a8.ttl,1,0,151,134,True,1,True,2021,False,Health assessment,True,robotic arm,True,Maintainable item,False,Not reported,False,3,True,"telemetry, faults, network topology",True,yes,True,Single model,True,"Health assessment, Health modelling, Predictive maintenance system module, predictive maintenance module function",True,MQTT,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: Factsdesign_detail_2_1, federated MQTT-based mesh",True,Article on IIoT hierarchical architecture and predictive maintenance,True,urn:ontocast:facts:Factsarticle1_166,False
120,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0e472e57d26e.ttl,1,0,202,187,False,1,True,2021,False,One step future state forecast,False,city bus engine,True,Maintainable item,False,Not reported,False,11,True,"Engine load variability, Environmental conditions, Maintenance histories, FactsNitration_1, Operating profiles, FactsOxidation_1, Prolonged idling, FactsSulfation, FactsTan, extreme contamination (oil), wear metals concentration (oil)",True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsOilAnalysisMethod, oil degradation / contamination state, oil leakage, regular oil analysis optimizes oil change intervals and improves predictive maintenance, enhancing reliability and reducing operational costs",True,FactsGolebiowskiEtAl,False,urn:ontocast:facts:FactsGolebiowskiEtAl,False
121,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_0efdf6da33d6.ttl,1,0,145,130,True,1,True,2021,False,One step future state forecast,True,industrial equipment,True,Maintainable item,False,Not reported,False,6,True,"nonlinear degradation patterns, domain knowledge, health information, multi-sensor information fusion, sensor data, training/testing data distributions",True,no,False,Multi model,True,"Predictive maintenance case, One step future state forecast, Remaining useful life estimation, Health assessment, Predictive maintenance system module, predictive maintenance module function, Future state forecast, classification, clustering, Performance indicator",True,"prognosis, multistage degradation division method",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Factsarticle1_81,False,urn:ontocast:facts:Factsarticle1_81,False
122,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_10262fb0fde1.ttl,1,0,194,179,True,1,True,2021,False,Remaining useful life estimation,True,aircraft engine,True,Maintainable item,False,Not reported,False,5,True,"failure time, operational setting 1, sensor measurement, transformed target, feature value",True,no,False,Multi model,True,"Database, data mining technique fucntion, predictive maintenance module function, Predictive Maintenance Article, Algorithm, Descriptive Information Content Entity, Model configuration",True,"XGBoost, Random Forest",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,XGBoost,True,urn:ontocast:facts:DescriptiveInformationContentEntity,False
123,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_117847e3c530.ttl,1,0,236,221,True,1,True,2021,False,Fault identification,True,photovoltaic panels,True,Maintainable item,False,Not reported,False,4,True,"environmental conditions, infrared thermography, irradiation, radiometrically normalised thermal data",True,yes,True,Multi model,True,"Fault feature extraction, predictive maintenance module function, Predictive maintenance system module",True,"DeepLabv3+, U-Net, IRT + DL, ASPP",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: atrous spatial pyramid pooling (ASPP) module, attention gate (AG) module, class imbalance, environmental variability, explainable frameworks, field energy validation, generalisation limitations, one-day acquisition-based, quantitative link between detected defects and actual energy yield losses, site-specific acquisition, site-specific domain shift, squeeze-and-excitation (SE) module, standardised measurement protocols, standardised radiometric calibration, thermal normalisation, unresolved issues",True,Efficient Attentive U-Net for Fault Diagnosis and Predictive Maintenance of Photovoltaic Panels Through Infrared Thermography,True,urn:ontocast:facts:Factsarticle1_229,False
124,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_12e0db15847a.ttl,2,1,199,182,True,1,True,2021,False,Fault feature extraction,True,bearing data,True,Maintainable item,False,Not reported,False,3,True,"background noise, Factsfact6_45, vibration signals",True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: ambient conditions, Factsfact10_27, non-stationarity, overlapping spectral components, speeds, time-varying loads",True,Factsarticle1_193,False,urn:ontocast:facts:Factsarticle1_193,False
125,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_12e4132d369b.ttl,1,0,145,130,True,1,True,2021,False,Fault detection,True,Pressure Sensor,True,Maintainable item,False,Not reported,False,1,True,Factsvar5_11,False,no,False,Multi model,True,"Fault detection, Predictive maintenance system module, Predictive maintenance case, Fault feature extraction, predictive maintenance module function",True,"Bayesian Deep Networks, active maintenance planning, deep learning",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,Factsdoc1_72,False,urn:ontocast:facts:Factsdoc1_72,False
126,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_13a2395c2081.ttl,3,2,130,115,True,1,True,2021,False,Health modelling,True,FactsaircraftElectricalNetworks,False,Maintainable item,False,Not reported,False,6,True,"Facts3d_2d_information, Factskeyword5_2, FactsrealAircraftData, inspection evidence, reliability parameters, contextual changes",True,no,False,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Not reported,False,aviation maintenance case,True,urn:ontocast:facts:Factscase1_17,False
127,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_13e24977c6b6.ttl,1,0,118,102,True,1,True,2021,False,Health assessment,True,degradation dataset target item,True,Maintainable item,False,Not reported,False,3,True,"FactsvarPressure, FactsvarTemperature, FactsvarVibration",False,yes,True,Single model,True,"Remaining useful life estimation, Predictive maintenance system module, predictive maintenance module function",True,hybrid PdM framework,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsdesignBayesianCalibration, FactsdesignShap, FactsfixedThresholds, FactsofflineModels",True,Factsarticle1_37,False,urn:ontocast:facts:Factsarticle1_37,False
128,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1489f1caf7d4.ttl,1,0,232,217,True,1,True,2021,False,Remaining useful life estimation,True,3 MW wind turbine,True,Maintainable item,False,Not reported,False,3,True,"SCADA data, gearbox temperature, calibrated wind speed",True,yes,True,Single model,True,"Predictive maintenance system module, Predictive maintenance case",True,reduced-order model,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: maximum power coefficient 0.491, blade wake effects, ambient temperature monitored, cut-in wind speed 3 m/s, rotor radius 45.65 m, gearbox ratio 1:93, nominal generator speed 1459 rpm, rated line-to-line voltage 690 V, rated current 2510 A, FactsdesignDetail1_1, rotor blades, maximum power point tracking, pitch control, torque control, wind rose diagram, yaw control system",True,Factsarticle1_86,False,urn:ontocast:facts:Factsarticle1_86,False
129,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_14d4842dceea.ttl,1,0,201,183,True,1,True,2021,False,Fault detection,True,industrial machines,True,Maintainable item,False,Not reported,False,2,True,"FactscurrentVar, failure modes",True,yes,True,Single model,True,"Predictive maintenance system module, predictive maintenance module function",True,preventive maintenance,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: Predictive and Preventive Maintenance,True,Factsarticle1_120,False,urn:ontocast:facts:Factsarticle1_120,False
130,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_150362587e21.ttl,1,0,225,209,True,1,True,2025,True,Fault detection,True,cutter,True,Maintainable item,False,Not reported,False,5,True,"tip width, operating parameters, traverse speed, rotational speed, specific energy consumption",True,yes,True,Multi model,True,"predictive maintenance module function, Model type, Predictive Maintenance Article",True,"cutter suction dredger wear case, CEIT model, dynamic cutting-force model, soil-blade interaction, cutting energy efficiency evaluation model, coal-cutting simulation model, oscillating disk cutter cutting performance model, vibration transmission model, Predictive_maintenance_model",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: cutter teeth, bonded-particle rock representation, varying operational parameters, cutter arm",True,Predictive_maintenance_model,True,urn:ontocast:facts:Predictive_maintenance_model,False
131,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_159a8af82084.ttl,1,0,202,187,True,1,True,2021,False,Fault detection,True,rolling element bearings,True,Maintainable item,False,Not reported,False,9,True,"5-shot tasks, network architectures, engineering stability, industrial engineering environments, parameter selection, computational complexity, linear features, data scarcity, fault diagnosis",True,yes,True,Single model,True,Not reported,False,RTSMRaE-AOO-ELM framework,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: transient impulses, robustness, dynamic characteristics, single-scale entropy methods, swap count of signal permutation patterns, linear features, over-parameterized networks, overfitting, unverified engineering stability",True,Factsarticle1_36,False,urn:ontocast:facts:Factsarticle1_36,False
132,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_15d6e0f725e9.ttl,2,1,223,206,True,1,True,2021,False,Fault detection,True,blades,True,Maintainable item,False,Not reported,False,2,True,"SCADA variables, 10 min SCADA statistics",True,yes,True,Multi model,True,Not reported,False,"physics-informed AI reduced-order modeling, DEL-ROM, one-class SVM anomaly detector, hybrid diagnostic decision rule",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: blade-specific S-N curves, detailed structural design information, exact laminate layups, local thickness distributions, Soderberg index",True,Factsarticle1_190,False,urn:ontocast:facts:Factsarticle1_190,False
133,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_16259bb8b181.ttl,1,0,192,175,True,1,True,2026,True,Fault detection,True,FactshistoricalFailureRecords,False,Maintainable item,False,Not reported,False,4,True,"FactsacousticEmissions, Factsforce, sensor data, Factstemperature_2",True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: delay correction mechanisms, Factsdelay_correction1",True,Factsdoc1_10,False,urn:ontocast:facts:Factsdoc1_10,False
134,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1649303d03f5.ttl,1,0,151,135,True,1,True,2026,True,Remaining useful life estimation,True,FactstoolCondition,False,Maintainable item,False,Not reported,False,4,True,"FactsacousticEmission, FactsmotorVoltage, tool wear, Factsvibrations",True,yes,True,Single model,True,Not reported,False,Not reported,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: FactsaerospaceDrilling, RUL prediction, FactsfreeformSurfaceMilling, FactsgeometryRelatedForceMaps, FactshighSpeedMilling, FactslookAheadFunctions, tool wear, FactsresidualStock, FactsstructuralDamage, FactstimeDomainRecordings",True,Factsarticle1_12,False,urn:ontocast:facts:Factsarticle1_12,False
135,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_164938fe194b.ttl,3,2,176,160,True,1,True,2021,False,Remaining useful life estimation,True,Eurotram bogie,True,Maintainable item,False,Not reported,False,1,True,virtual sensor (BIM-generated),True,yes,True,Single model,True,Not reported,False,ML-based RUL model,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,Design details: FactsHsnDesignDetail,True,FactsThisArticle_3,False,urn:ontocast:facts:FactsThisArticle_3,False
136,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_171b435bdf9e.ttl,1,0,173,154,True,1,True,2021,False,Fault feature extraction,True,contact system,True,Maintainable item,False,Not reported,False,5,True,"FactsEquipmentAging, operation records, sensor data, FactsnormalizedContactSystemData, pole number (index used to reorder maintenance data)",True,yes,True,Multi model,True,Predictive Maintenance Article,True,"data-driven RUL predictive model, error-improved PSO-BiLSTM early warning model",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Keywords: Contact system, BiLSTM, Extreme gradient boosting, RUL prediction, Early warning; Design details: Factsdesign_detail1_1, FactsfeatureParameterFusion",True,data-driven RUL predictive model,True,urn:ontocast:facts:FactsRulPredictionModel,False
137,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_173e989f42c4.ttl,1,0,163,148,True,1,True,2021,False,Remaining useful life estimation,True,Factsfact35_18,False,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Multi model,True,"Algorithm, predictive maintenance module function, Fault detection, Health assessment, Health modelling, Fault identification, Fault feature extraction",True,"wear models for each individual chute, Spatial and Temporal BHM, stochastic model for degradation",True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: Internet-of-Things sensor monitoring system for chute wear monitoring, sensor output transmitted to a cloud-based data warehouse and displayed on a web user interface, wear of a sensor refers to degradation of a liner at the particular location where the sensor is installed, interpolation between the sensors, probe penetrates to the wear surface of the liner, sensor housed in a fastener",True,Liner Wear Prediction Using Bayesian Regression Models and Clustering,True,urn:ontocast:facts:Factsdoc1_99,False
138,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_1762d3edd470.ttl,1,0,229,212,True,1,True,2021,False,Health assessment,True,engine,True,Maintainable item,False,Not reported,False,10,True,"faulty products, noise status, scheduling, highly compressed measurements, rolling element bearings signals datasets, shop floor scenarios, machinery performance, workstations, vibration level, Factsvisits",True,yes,True,Single model,True,"Predictive maintenance system module, Predictive maintenance case, Fault detection, predictive maintenance module function, Algorithm",True,condition monitoring,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Design details: Factsdetail1_32, workplace hygiene",True,review article on predictive maintenance and operations management,True,urn:ontocast:facts:Factsdoc1_88,False
139,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_17792a3e16ba.ttl,1,0,127,112,True,1,True,2026,True,One step future state forecast,True,MSS,True,Maintainable item,False,Not reported,False,0,False,Not reported,False,yes,True,Single model,True,"Information Processing Artifact, Model configuration, Predictive maintenance system module, function, predictive maintenance module function",True,CBM model,True,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Keywords: imperfect repair; Design details: FactsimperfectInspection, failure, gradual degradation, periodical inspections, age-based preventive replacement, random shocks, inspection frequency, threshold",True,Factspaper1_3,False,urn:ontocast:facts:Factspaper1_3,False
140,extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_17cd6a7ce0d1.ttl,1,0,192,175,True,1,True,2021,False,Fault detection,True,insulation materials,True,Maintainable item,False,Not reported,False,1,True,Factsdata_var3,False,yes,True,Single model,True,Predictive maintenance system module,True,Factsmodel1_5,False,Unknown synchronization,False,0,False,Not reported,False,Not reported,False,"Keywords: XLPE Insulation; Design details: ex-situ and destructive tests, real-time operating status, dynamic thermal and electrical conditions, environmental influences, thousands of cable segments, humidity, sunlight exposure, corrosive chemicals, microbiological effects in soil, water trees, electrical trees, oxidation, melting point, cable",True,Results in Engineering article on power cable predictive maintenance,True,urn:ontocast:facts:Factsdoc1_6,False
