corpus_id,old_decision,new_decision,civil_reason_category,mapped_screening_reason_category,civil_confidence,civil_notes,Title,DOI,Source title
paper-2220,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge condition monitoring,Regional-scale bridge condition monitoring using InSAR displacements and environmental data,10.1177/14759217241302369,Structural Health Monitoring
paper-2243,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,paved road network condition management,MANAGING AND PREDICTING THE CONDITION OF PAVED ROAD NETWORK IN FINLAND: ESSENTIAL TECHNICAL INFORMATION,10.7250/bjrbe.2025-20.658,Baltic Journal of Road and Bridge Engineering
paper-2253,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,steel bridge corrosion fatigue degradation,Corrosion-fatigue synergy in steel bridges: Mechanisms and mechanical degradation,10.1016/j.rineng.2025.106235,Results in Engineering
paper-2279,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,cementitious mortar corrosion prediction,Hybrid Gaussian Process Regression Models for Accurate Prediction of Carbonation-Induced Steel Corrosion in Cementitious Mortars,10.3390/buildings15142464,Buildings
paper-2289,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,dike structural health monitoring,Digital-Twin-Based Structural Health Monitoring of Dikes,10.3390/civileng6030039,CivilEng
paper-2314,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge structural health monitoring,MEMS-ENABLED VIBRATION MONITORING AND DIAGNOSTIC EVALUATION FOR LONG-TERM HEALTH ASSESSMENT OF SWARNAMUKHI AND BHAKTA KANNAPPA SETHU BRIDGES IN SRIKALAHASTI,10.70102/afts.2025.1833.135,Archives for Technical Sciences
paper-2315,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road pothole detection,Road pothole detection algorithm based on improved YOLOv10n,10.1088/2631-8695/ae02e3,Engineering Research Express
paper-2343,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge digital twin structural monitoring,Digital twin-based structural health monitoring and measurements of dynamic characteristics in balanced cantilever bridge,10.1016/j.rcns.2025.08.001,Resilient Cities and Structures
paper-2396,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge bearing sensor energy harvesting,Design Strategies for Stack-Based Piezoelectric Energy Harvesters near Bridge Bearings,10.3390/s25154692,Sensors
paper-2554,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge slab deterioration prediction,Digital Twin Framework for Bridge Slab Deterioration: From 2D Inspection Data to Predictive 3D Maintenance Modeling,10.3390/buildings15121979,Buildings
paper-2555,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track defect assessment,A multilevel track defects assessment framework based on vehicle body vibration,10.1111/mice.13466,Computer-Aided Civil and Infrastructure Engineering
paper-2597,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road quality measurement,Vehicle maneuver recognition and correction algorithm for road quality measurement system optimization,10.1016/j.measen.2025.101816,Measurement: Sensors
paper-2655,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,noise barrier tunnel infrastructure monitoring,Design and Validation of a Real-Time Maintenance Monitoring System Using BIM and Digital Twin Integration,10.3390/buildings15081312,Buildings
paper-2698,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,generic structural damage inverse analysis,Towards efficient structural inverse analysis based on AI-driven differentiable optimization method,10.1016/j.ymssp.2025.112618,Mechanical Systems and Signal Processing
paper-2732,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,paved road network condition management,MANAGING AND PREDICTING THE CONDITION OF PAVED ROAD NETWORK IN FINLAND: ESSENTIAL TECHNICAL INFORMATION,10.7250/bjrbe.2025-20.658,Baltic Journal of Road and Bridge Engineering
paper-2756,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,steel railway bridge digital twin monitoring,Genetic Algorithm-Based Model Updating in a Real-Time Digital Twin for Steel Bridge Monitoring,10.3390/app15084074,Applied Sciences (Switzerland)
paper-2780,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road crack detection,"LiDAR-Based Road Cracking Detection: Machine Learning Comparison, Intensity Normalization, and Open-Source WebGIS for Infrastructure Maintenance",10.3390/rs17091543,Remote Sensing
paper-2792,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,reinforced concrete beam structural monitoring,Numerical Model Development of Reinforced Concrete Beam for Structural Health Monitoring,10.37934/aram.128.1.2439,Journal of Advanced Research in Applied Mechanics
paper-2834,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail surface crack monitoring,Real-Time Detection and Quantification of Rail Surface Cracks Using Surface Acoustic Waves and Piezoelectric Patch Transducers,10.3390/s25103014,Sensors
paper-2853,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road maintenance decision making,Capturing uncertainty intuition in road maintenance decision-making using an evidential neural network,10.1111/mice.13374,Computer-Aided Civil and Infrastructure Engineering
paper-2891,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,asphalt pavement fatigue crack prediction,Neural Network Approach for Fatigue Crack Prediction in Asphalt Pavements Using Falling Weight Deflectometer Data,10.3390/app15073799,Applied Sciences (Switzerland)
paper-2899,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,steel structure coating corrosion deterioration,Predicting deterioration in paint-coated steel due to defects using a generative adversarial network approach,10.1007/s11709-025-1180-9,Frontiers of Structural and Civil Engineering
paper-2955,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,highway pavement condition prediction,Modeling heterogeneous spatiotemporal pavement data for condition prediction and preventive maintenance in digital twin-enabled highway management,10.1016/j.autcon.2025.106134,Automation in Construction
paper-2968,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge crack identification,Crack Identification for Bridge Condition Monitoring Combining Graph Attention Networks and Convolutional Neural Networks,10.3390/app15105452,Applied Sciences (Switzerland)
paper-3016,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road damage detection,YOLO-RD: A Road Damage Detection Method for Effective Pavement Maintenance,10.3390/s25051442,Sensors
paper-3054,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge structural integrity assessment,Application of Machine Learning for Real-Time Structural Integrity Assessment of Bridges †,10.3390/civileng6010002,CivilEng
paper-3070,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,concrete civil infrastructure assessment,Artificial Intelligence and Non-Destructive Testing Data to Assess Concrete Sustainability of Civil Engineering Infrastructures,10.3390/ma18040826,Materials
paper-3105,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track defects and RUL,A predictive model based on the LSTM technique for the maintenance of railway track system,10.1504/IJCSE.2025.143461,International Journal of Computational Science and Engineering
paper-3115,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,port infrastructure asset management,Optimization of Port Asset Management Using Digital Twin and BIM/GIS in the Context of Industry 4.0: A Case Study of Spanish Ports,10.3390/pr13030705,Processes
paper-3123,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railroad infrastructure inspection,UAV framework for railroad inspection and predictive maintenance,10.1007/s43995-025-00234-w,Journal of Umm Al-Qura University for Engineering and Architecture
paper-3124,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,generic SHM regression not equipment,Active learning for regression in engineering populations: A risk-informed approach,10.1017/dce.2025.7,Data-Centric Engineering
paper-3131,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,building maintenance data not equipment specific,Enhancing associative classification on imbalanced data through ontology-based feature extraction and resampling,10.1016/j.knosys.2024.112897,Knowledge-Based Systems
paper-3169,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track load monitoring,Quasi-static methods for determining the calculated wheel load on the railway track,10.14513/actatechjaur.00769,Acta Technica Jaurinensis
paper-3185,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,stormwater pipe network condition,Leveraging deep learning techniques for condition assessment of stormwater pipe network,10.1007/s13349-024-00841-6,Journal of Civil Structural Health Monitoring
paper-3205,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge scour and foundation,Digital twin for predictive maintenance on the Espartxo Bridge. Application to early detection of under-foundation scour,10.1016/j.istruc.2024.107916,Structures
paper-3281,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,concrete crane beam cracking,Assessment of Cracking Development in Concrete Precast Crane Beams Using Optical and Deep Learning Methods,10.3390/ma18040731,Materials
paper-3288,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track failures,A graph convolutional network for optimal intelligent predictive maintenance of railway tracks,10.1016/j.dajour.2024.100542,Decision Analytics Journal
paper-3315,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge and civil asset framework,Framework for Asset Digitalization: IoT Platforms and Asset Health Index in Maintenance Applications,10.3390/app15031524,Applied Sciences (Switzerland)
paper-3342,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement management,Gradient boosting decision trees to study laboratory and field performance in pavement management,10.1111/mice.13322,Computer-Aided Civil and Infrastructure Engineering
paper-3343,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,lifting dam gate infrastructure,Clustering and Vectorizing Acoustic Emission Events of Large Infrastructures’ Normal Operation,10.3390/infrastructures10020038,Infrastructures
paper-3348,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track maintenance strategy,Exploring the paradigm of railway predictive maintenance,10.1080/15732479.2025.2596714,Structure and Infrastructure Engineering
paper-3400,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail pads and track infrastructure,Design of Sensorized Rail Pads for Real-Time Monitoring and Predictive Maintenance of Railway Infrastructure,10.3390/infrastructures10020045,Infrastructures
paper-3438,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road surface damage,Improving Road Safety with AI: Automated Detection of Signs and Surface Damage,10.3390/computers14030091,Computers
paper-3439,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge condition monitoring,Cost Efficiency and Effectiveness of Drone Applications in Bridge Condition Monitoring,10.3390/infrastructures10030063,Infrastructures
paper-3471,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,cement pole rebar assessment,An NDT Method for Measuring the Diameter and Embedment Depth of the Main Rebar in Cement Poles Based on Rotating Permanent Magnet Excitation,10.3390/s25051477,Sensors
paper-3527,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement condition assessment,A Novel CNN-SVM Hybrid Framework for Automated Pavement Condition Assessment,10.12785/ijcds/1571160947,International Journal of Computing and Digital Systems
paper-3565,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track buckling,Railway track buckling evaluation using rigid-flexible multibody dynamic model and machine learning,10.1080/15397734.2025.2456655,Mechanics Based Design of Structures and Machines
paper-3570,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail surface damage,Rail surface damage management through monitoring and modelling,10.1080/23248378.2024.2337364,International Journal of Rail Transportation
paper-3574,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,civil structural health monitoring,A Dynamic Dimension Reduction Method for Structural Health Monitoring Data Based on Sparse Bayesian Inference,10.1155/stc/5560897,Structural Control and Health Monitoring
paper-3583,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,railway infrastructure RCM data,A Secure and Scalable Blockchain Framework for Data Sharing and Cost Distribution in Railway Condition Monitoring,10.1109/ACCESS.2025.3603413,IEEE Access
paper-3601,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail surface roughness,Evaluating the impact of rail surface roughness post-grinding: An experimental and elastoplastic modelling approach,10.1016/j.triboint.2024.110270,Tribology International
paper-3620,included,excluded,other_nonmaintenance,other_nonmaintenance,medium,generic rule mining review,A Retrospective Analysis of Soft Computing Techniques for Rule Mining †,10.3390/engproc2025107058,Engineering Proceedings
paper-3640,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track anomalies,Anomaly Detection in Railway Tracks Using Hybrid Clustering and Spectral Analysis for Predictive Maintenance,10.1109/ACCESS.2025.3611009,IEEE Access
paper-3656,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement distress analysis,A Data-Driven Framework for Explainable Artificial Intelligence in Pavement Distress Analysis and Decision Support: Integrating Clustering Models and Principal Component Analysis,10.1155/stc/8852297,Structural Control and Health Monitoring
paper-3660,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,steel bridge cracks,A hybrid approach for damage identification of steel bridges with discrete cracks,10.1080/15732479.2025.2520341,Structure and Infrastructure Engineering
paper-3665,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,asphalt pavement monitoring,Advancing asphalt pavement monitoring and prognostics with physics-informed digital twins: a feasibility study,10.1080/10298436.2025.2566277,International Journal of Pavement Engineering
paper-3692,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement patch detection,A dual-image fusion instance segmentation model for pavement patch detection,10.1080/10298436.2025.2472857,International Journal of Pavement Engineering
paper-3704,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road condition assessment,Condition Assessment of Low-Volume Roads in Norway: A Deep Learning Approach for Automatic Assessment at Network Level,10.1007/s42947-025-00603-7,International Journal of Pavement Research and Technology
paper-3730,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,historic bridge corrosion,Probabilistic failure assessment of steel eyebars by considering multi-phase nonlinear corrosion model,10.1016/j.jcsr.2024.109127,Journal of Constructional Steel Research
paper-3732,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,urban rail infrastructure inspection,Automated Inspection System with GPS and Deep Learning in Urban Rail Safety and Efficiency,10.12700/APH.22.4.2025.4.2,Acta Polytechnica Hungarica
paper-3751,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,heritage steel bridge rehab,A BIM-Enabled Workflow for the Rehabilitation of Heritage Steel Bridges,10.3390/app15020677,Applied Sciences (Switzerland)
paper-3753,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track quality index,Prediction Model for Track Quality Index Categories on the Northern and Southern Railway Lines of Java,10.3311/PPtr.38115,Periodica Polytechnica Transportation Engineering
paper-3768,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road pavement vibration monitoring,Genetic algorithm optimization and sensitivity analysis of bicycle characteristics for vibration monitoring,10.1016/j.ijtst.2025.05.006,International Journal of Transportation Science and Technology
paper-3777,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road crack detection,Road Crack Detection and Orientation Estimation Using Airborne Synthetic Aperture Radar,10.1109/JSTARS.2025.3613166,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
paper-3800,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road pothole detection,Machine Learning Model for Road Anomaly Detection Using Smartphone Accelerometer Data,10.1109/ACCESS.2025.3586812,IEEE Access
paper-3817,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,railway system environmental risk,Integration of deep learning and railway big data for environmental risk prediction models and analysis of their limitations,10.3389/fenvs.2025.1550745,Frontiers in Environmental Science
paper-3818,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail track degradation,"Estimation of Vertical Forces and Track Degradation Considering, Wheel-Rail Interaction, Railway Traffic Severity and Seasonal Conditions",10.12700/APH.22.4.2025.4.17,Acta Polytechnica Hungarica
paper-3824,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,building moisture damage,Predictive modeling and estimation of moisture damages in Swedish buildings: A machine learning approach,10.1016/j.scs.2024.105997,Sustainable Cities and Society
paper-3842,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,cable stayed bridge cables,An Advanced Computer Vision Method for Noncontact Vibration Measurement of Cables in Cable-Stayed Bridges,10.1155/stc/1254049,Structural Control and Health Monitoring
paper-3853,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,urban drainage infrastructure,A Four-Layer Digital Framework for BIM and FM Integration in a Sustainable Urban Drainage System †,10.3390/engproc2025116039,Engineering Proceedings
paper-3858,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,pavement maintenance strategy,Evaluation of Optimized Pavement Maintenance for User Costs and Vehicle Emissions on the Indian Urban Roads,10.1155/adce/8835012,Advances in Civil Engineering
paper-3872,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,urban pipe gallery infrastructure,Integration of IoT and Digital Twin for Intelligent Management of Urban Underground Pipe Galleries in Smart Cities,10.31449/inf.v49i15.7903,Informatica (Slovenia)
paper-3885,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail surface defects,Automated polarisation-optical method for diagnostics of railway rails surface defects,10.24425/opelre.2025.155876,Archives of Environmental Protection
paper-3890,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,rail corrugation detection,A feature extraction framework for metro rail corrugation detection using onboard vibration and noise monitoring data,10.1093/iti/liaf010,Intelligent Transportation Infrastructure
paper-3899,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,bridge girder displacement,Estimation of Bridge Girder Cumulative Displacement for Component Operational Warning Using Bayesian Neural Networks,10.1155/stc/9974584,Structural Control and Health Monitoring
paper-3909,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway track diagnostics,Railway track condition monitoring based on sensor data and artificial neural networks,10.55730/1300-0632.4154,Turkish Journal of Electrical Engineering and Computer Sciences
paper-3924,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,road cracks and potholes,Benchmarking YOLOv8 Variants with Transfer Learning for Real-Time Detection and Classification of Road Cracks and Potholes,10.29207/resti.v9i4.6710,Jurnal RESTI
paper-3929,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,water pipe integrity,Building a Monitoring Mechanism for Water Pipe Spatial Status in a Cyber-physical System,10.18494/SAM6012,Sensors and Materials
paper-3954,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,high,railway infrastructure UAV inspection,HTFN: A Hybrid Deep Reinforcement Learning Framework for UAV-Based Railway Inspection With Deepseek Integration,10.1109/ACCESS.2025.3634110,IEEE Access
paper-3970,included,excluded,civil_geotechnical_infrastructure,environment_natural_system,medium,district heating network infrastructure,Developing an Algorithmic Framework for Sustainable Asset Management of District Heating Networks: A Scenario-Based Approach,10.2478/rtuect-2025-0056,Environmental and Climate Technologies
