corpus_id,old_decision,new_decision,controversy_level,normalized_reason_category,mapped_screening_reason_category,brief_reason,pdf_present_before,Title,DOI,Source title
paper-2711,included,excluded,medium,generic_method_no_asset_case,generic_nonmaintenance_ai_control,Theoretical framework for grid automation effects on SAIDI/SAIFI and outages; no specific asset condition or maintenance decision.,yes,Beyond Traditional Grid: A Novel Quantitative Framework for Assessing Automation’s Impact on System Average Interruption Duration Index and System Average Interruption Frequency Index,10.3390/en18112671,Energies
paper-2716,included,excluded,medium,business_social,business_social_finance,Greenhouse digital twin mainly manages energy use and agricultural environment; equipment maintenance decision is implicit at best.,yes,Application of the Digital Twin for Condition Monitoring and Energy Management of Electrical Loads in Greenhouses,10.48084/etasr.10467,"Engineering, Technology and Applied Science Research"
paper-2794,included,excluded,medium,generic_method_no_asset_case,generic_nonmaintenance_ai_control,"Personalized digital work instructions for maintenance workers; predictive maintenance is only a possible integration, not the study target.",yes,Personalizing Industrial Maintenance Operation Using the Model of Hierarchical Complexity,10.3390/jmmp9040132,Journal of Manufacturing and Materials Processing
paper-2894,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Combustion/flame state diagnosis targets process safety/control states rather than equipment degradation or maintenance needs.,yes,Research on Combustion State System Diagnosis Based on Voiceprint Technology,10.3390/s25103152,Sensors
paper-2938,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"Tire-pressure-monitoring system performance study; predictive maintenance is only a future integration, not degradation or failure prediction.",yes,Developing smart tire pressure monitoring system: A performance evaluation of ESP32-C3 with ESP-NOW communication,10.18488/76.v12i2.4215,Review of Computer Engineering Research
paper-2946,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,Simulation-only actuator fault estimation for abstract nonlinear systems; maintenance is motivational with no real asset/use case.,yes,Actuator Fault Estimation for Distributed Interconnected Lipschitz Nonlinear Systems with Direct Feedthrough Inputs,10.3390/pr13051283,Processes
paper-3030,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,Induction-motor parameter/loss estimation is mainly for control/performance; condition monitoring and fault classification are described as future modifications.,no,Estimation of induction motor equivalent circuit parameters and losses from transient measurement,10.1016/j.isatra.2024.12.012,ISA Transactions
paper-3045,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Rail curve-squeal/noise and rail-grinding case study; maintenance target is track/rail acoustics rather than clear vehicle/equipment PdM.,no,A case study of railway curve squeal radiated from both the outer and inner wheel,10.1016/j.apacoust.2024.110327,Applied Acoustics
paper-3108,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"PMSM inductance estimation supports control and may aid condition monitoring, but no fault/degradation diagnosis or maintenance use is demonstrated.",no,Speed Harmonic based Saturation Free Inductance Modeling and Estimation of Interior PMSM Using Measurements Under One Load Condition,10.30941/CESTEMS.2025.00010,CES Transactions on Electrical Machines and Systems
paper-3189,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,Automated industrial-equipment system focuses on energy consumption/control and standby savings; predictive-maintenance link is secondary and vague.,yes,Design of an Automated System for the Benefit of Energy Consumption and Control of Industrial Equipment with Artificial Intelligence,10.14445/23488379/IJEEE-V12I3P110,SSRG International Journal of Electrical and Electronics Engineering
paper-3279,included,excluded,medium,business_social,business_social_finance,"Maintenance innovation/competitive-advantage guide is largely organizational and strategic, with no concrete predictive asset-health model.",yes,Innovation management strategies for industrial machinery maintenance: Enhancing competitive advantage,10.55214/25768484.v9i5.7445,Edelweiss Applied Science and Technology
paper-3429,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"Energy harvester powers transmission-line sensors; it does not perform condition assessment, fault prediction, or maintenance decision support.",yes,Hybrid Triboelectric-Electromagnetic-Electric Field Energy Harvester for Simultaneous Wind and Electric Field Energy Capture in High-Voltage Transmission System,10.1002/aenm.202403931,Advanced Energy Materials
paper-3470,included,excluded,medium,business_social,business_social_finance,Legal/data-storage framework for automotive PdM implementation; outside strict technical predictive-maintenance or asset-health modeling scope.,no,Legal Framework and Data Storage Background of Online Collected Data for Predictive Maintenance and Repair Purposes in the Automotive Sector in the European Union,10.1109/ACCESS.2025.3594772,IEEE Access
paper-3485,included,excluded,medium,sensor_material_only,other_nonmaintenance,Millimeter-wave radar displacement-sensor precision study has only generic condition-monitoring applications and no specific asset maintenance target.,yes,Experimental Analysis of Accuracy and Precision in Displacement Measurement Using Millimeter-Wave FMCW Radar,10.3390/app15063316,Applied Sciences (Switzerland)
paper-3578,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Fault classification is for abstract industrial processes/datasets with no clear physical equipment or maintenance action.,no,Improved Machine Learning for Multiclass Fault Classification in Industrial Processes,10.1109/ACCESS.2025.3633702,IEEE Access
paper-3686,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,"Drive-mode classification for trucks may aid diagnostics, but it predicts operating mode rather than condition, fault, or RUL.",no,DriveSense: A Noise-Resilient Framework for Driving Mode Identification,10.1109/ACCESS.2025.3608615,IEEE Access
paper-3698,included,excluded,medium,performance_or_energy_optimization,generic_nonmaintenance_ai_control,Vehicle-emission forecasting targets high-emitting vehicles and environmental compliance; predictive maintenance is incidental.,no,IVEMPS: IoT-Based Vehicle Emission Monitoring and Prediction System,10.1109/ACCESS.2025.3572726,IEEE Access
paper-3784,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Bolted-structure torque-loosening SHM lacks a specific in-scope industrial/electromechanical asset and may be civil/generic structure monitoring.,yes,Integrating Virtual Sensor Data Augmentation Into Machine Learning for Damage Quantification of Bolted Structures Under Assembly Uncertainty,10.1155/stc/8030303,Structural Control and Health Monitoring
paper-3830,included,excluded,medium,sensor_material_only,other_nonmaintenance,"Evaluates low-cost particle sensors for HVAC ducts; predictive maintenance of filters is only an opportunity, not demonstrated.",yes,Using low-cost particle sensors in HVAC ducts,10.1080/02786826.2025.2475085,Aerosol Science and Technology
paper-3843,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,"Predicts HDD failures during manufacturing reliability testing, closer to quality screening than field maintenance of assets.",yes,An Adaptive Machine Learning Framework Integrating AutoML and MLOps for Two-Stage Classification in Hard Disk Drive Manufacturing,10.1049/cim2.70047,IET Collaborative Intelligent Manufacturing
paper-3964,included,excluded,medium,process_quality_not_maintenance,generic_nonmaintenance_ai_control,Surface-roughness classification is mainly machining quality/process control; tool replacement maintenance is downstream and indirect.,yes,Surface Roughness Determination With the Help of Artificial Neural Networks as Enabler of Metal Machining Process Controlling System,10.15837/ijccc.2025.2.7028,"International Journal of Computers, Communications and Control"
paper-3980,included,excluded,medium,civil_geotechnical_infrastructure,environment_natural_system,Primary goal is driver profiling and accident prevention; vehicle-condition monitoring is secondary and simulated.,yes,SmartYatra: a dynamic driver profiling and vehicle condition monitoring safety shield for accident prevention,10.1080/21650020.2025.2602326,"Urban, Planning and Transport Research"
