query_index;facts_file;extracted_case_count;task;case_study_type;case_study;online_offline;input_for_model;input_type;normalization_notes;normalized_task;normalized_case_study_type;normalized_case_study;normalized_online_offline;normalized_input_for_model;normalized_input_type;top_k;pool_size
277;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_59f6521f639b.ttl;1;Fault detection;Maintainable item;80MN electric screw press;Unknown synchronization;Not reported;oil pressure signals, signal data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;80MN electric screw press;;;oil pressure signals, signal data;5;15
278;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5b17d29e1395.ttl;3;Fault feature extraction;Maintainable item;bearing;Unknown synchronization;Not reported;bearing, features;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;bearing;;;bearing, features;5;15
279;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5b1cc3467d7a.ttl;1;Fault detection;Maintainable item;PCB;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;PCB;;;;5;15
280;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5bd2afb8af30.ttl;1;Fault detection;Maintainable item;dampers;Unknown synchronization;Not reported;inspection workflows, multi-scale object distributions, Regions of Interest (ROIs);case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;dampers;;;inspection workflows, multi-scale object distributions, Regions of Interest (ROIs);5;15
281;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5bd770bbba76.ttl;1;Remaining useful life estimation;Maintainable item;bogie frame;Unknown synchronization;Not reported;cyclic loading, digital image correlation, Fy d, 46 distinct service load cases, strain gauges;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;bogie frame;;;cyclic loading, digital image correlation, Fy d, 46 distinct service load cases, strain gauges;5;15
282;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5ca74d3ffe1e.ttl;2;Fault identification;Maintainable item;crack;Unknown synchronization;Not reported;Factsperf2_2;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factsperf2_2;Fault identification;;crack;;;;5;15
283;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5d06cd53f72d.ttl;1;Fault feature extraction;Maintainable item;main reservoir;Unknown synchronization;Not reported;historical data, operational conditions, real-time data, Factsvar1_12, vehicle status;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;main reservoir;;;historical data, operational conditions, real-time data, Factsvar1_12, vehicle status;5;15
284;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5d3a0c7776f1.ttl;2;Fault detection;Maintainable item;equipment;Unknown synchronization;Not reported;humidity, temperature, usage time, vibration, wear and tear;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;equipment;;;humidity, temperature, usage time, vibration, wear and tear;5;15
285;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5df129db58e0.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
286;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5ed3ebaec3da.ttl;1;Fault detection;Maintainable item;hybrid electric vehicles;Unknown synchronization;Not reported;road gradient, speed, ambient temperature;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;hybrid electric vehicles;;;road gradient, speed, ambient temperature;5;15
287;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_5eeeb5d8e008.ttl;1;Fault detection;Maintainable item;machinery;Unknown synchronization;Not reported;known health states, mechanical conditions, rotational speed, temperature, aging conditions, damage level, fault conditions, operational and environmental variables, FactsvibrationFeature2;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;machinery;;;known health states, mechanical conditions, rotational speed, temperature, aging conditions, damage level, fault conditions, operational and environmental variables, FactsvibrationFeature2;5;15
288;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6009f13f692f.ttl;1;Health assessment;Maintainable item;bearing;Unknown synchronization;Not reported;FactsdistributionShifts, FactssensorPlacement_1, sensor variable, FactstimeVaryingDegradation;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;bearing;;;FactsdistributionShifts, FactssensorPlacement_1, sensor variable, FactstimeVaryingDegradation;5;15
289;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_605829bc47be.ttl;1;Remaining useful life estimation;Maintainable item;lithium battery;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;lithium battery;;;;5;15
290;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_61f079413f04.ttl;1;Remaining useful life estimation;Maintainable item;EV battery;Unknown synchronization;Not reported;Factscurrent1, Factsdepth_of_discharge1, EV battery, Active balance, machine learning;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;EV battery;;;Factscurrent1, Factsdepth_of_discharge1, EV battery, Active balance, machine learning;5;15
291;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6284342b1ba8.ttl;1;Health assessment;Maintainable item;Factsbus_1;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Factsbus_1 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;;;;;5;15
292;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_62dab09d68cc.ttl;1;Remaining useful life estimation;Maintainable item;40-year-old induction motor;Unknown synchronization;Not reported;FactsinsulationResistance, FactsleakageCurrent, FactswindingIntegrity;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;40-year-old induction motor;;;FactsinsulationResistance, FactsleakageCurrent, FactswindingIntegrity;5;15
293;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_631b04194d08.ttl;1;Fault detection;Maintainable item;silicon-carbon cell;Unknown synchronization;Not reported;Factsvar5_10;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factsvar5_10;Fault detection;;silicon-carbon cell;;;;5;15
294;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_637e0c3b555e.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
295;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_64c976727af8.ttl;1;One step future state forecast;Maintainable item;substation circuit breakers;Unknown synchronization;Not reported;FactsiidData;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsiidData;One step future state forecast;;substation circuit breakers;;;;5;15
296;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_65e8eae47311.ttl;2;Fault feature extraction;Maintainable item;CNN;Unknown synchronization;Not reported;CNN, background noise, PD signals, Factsvar1_14, voltage fundamental wave;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;CNN;;;CNN, background noise, PD signals, Factsvar1_14, voltage fundamental wave;5;15
297;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_66514e3809a3.ttl;1;Health assessment;Maintainable item;FactsbeverageFillingPlant;Unknown synchronization;Not reported;FactsdataVar1;case-study type dropped: Maintainable item | case study dropped: FactsbeverageFillingPlant | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsdataVar1;Health assessment;;;;;;5;15
298;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6684c2f36c0b.ttl;1;Fault detection;Maintainable item;polymeric materials;Unknown synchronization;Not reported;signal components, vibration signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;polymeric materials;;;signal components, vibration signals;5;15
299;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_66a60553def5.ttl;1;Fault detection;Maintainable item;Dunes plant;Unknown synchronization;Not reported;conductivity;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Dunes plant;;;conductivity;5;15
300;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_66cb6db76cd9.ttl;2;One step future state forecast;Maintainable item;split roller bearing;Unknown synchronization;Not reported;FactsfaultLocation, FactsmachineOperatingSpeeds;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;split roller bearing;;;FactsfaultLocation, FactsmachineOperatingSpeeds;5;15
301;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_673cbff3d812.ttl;1;Fault detection;Maintainable item;airgap;Unknown synchronization;Not reported;Factsperf2_3;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factsperf2_3;Fault detection;;airgap;;;;5;15
302;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_695231da8662.ttl;1;Fault detection;Maintainable item;power infrastructure;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;power infrastructure;;;;5;15
303;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_69b1c98201d5.ttl;3;Fault detection;Maintainable item;92%;Unknown synchronization;Not reported;Factssignal1_5;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factssignal1_5;Fault detection;;92%;;;;5;15
304;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6a48c55aef0b.ttl;1;Fault detection;Maintainable item;gear;Unknown synchronization;Not reported;Impedanzsignal, load;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;gear;;;Impedanzsignal, load;5;15
305;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6a4a212ffbc9.ttl;1;Health assessment;Maintainable item;conductors;Unknown synchronization;Not reported;iceshedding;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;conductors;;;iceshedding;5;15
306;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6aa0b4e055d0.ttl;1;One step future state forecast;Maintainable item;spur gearbox test rig;Unknown synchronization;Not reported;RÃ©nyi entropy;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;spur gearbox test rig;;;RÃ©nyi entropy;5;15
307;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6ae388cde46e.ttl;1;Fault detection;Maintainable item;three-phase induction motor;Unknown synchronization;Not reported;Factsvalue2_1;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factsvalue2_1;Fault detection;;three-phase induction motor;;;;5;15
308;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6ae9f9262bd0.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
309;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6b1c61beca3a.ttl;1;Fault feature extraction;Maintainable item;solid oxide fuel cell system;Unknown synchronization;Not reported;Fault Signature Matrix, FactsResiduals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;solid oxide fuel cell system;;;Fault Signature Matrix, FactsResiduals;5;15
310;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6b21f594fbb8.ttl;1;Fault detection;Maintainable item;IoT device;Unknown synchronization;Not reported;board;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;IoT device;;;board;5;15
311;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6ce70958b289.ttl;1;Fault identification;Maintainable item;plastic extrusion system;Unknown synchronization;Not reported;energy, timestamps;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;plastic extrusion system;;;energy, timestamps;5;15
312;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6d107013e4f7.ttl;2;Remaining useful life estimation;Maintainable item;lithium-ion battery;Unknown synchronization;Not reported;current, internal resistance, FactslearningRate, temperature, voltage;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;lithium-ion battery;;;current, internal resistance, FactslearningRate, temperature, voltage;5;15
313;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6dcf7fafc720.ttl;1;Fault detection;Maintainable item;photovoltaic system;Unknown synchronization;Not reported;raw electrical measurements, intelligent fault detection and classification framework;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;photovoltaic system;;;raw electrical measurements, intelligent fault detection and classification framework;5;15
314;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6dd218ab4d5b.ttl;2;Remaining useful life estimation;Maintainable item;synchronous machine (maintainable item);Unknown synchronization;Not reported;J, Î± = 0 (healthy), Factsfeature_ExcitationCurrent_200Hz, e;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;synchronous machine (maintainable item);;;J, Î± = 0 (healthy), Factsfeature_ExcitationCurrent_200Hz, e;5;15
315;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6e6418007fcd.ttl;1;Fault detection;Maintainable item;FactsGearbox_1;Unknown synchronization;Not reported;FactsEntropyFeature, FactsInfraredThermography_1, FactsTimeDomainFeature, FactsVibrationSensorData;case-study type dropped: Maintainable item | case study dropped: FactsGearbox_1 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;FactsEntropyFeature, FactsInfraredThermography_1, FactsTimeDomainFeature, FactsVibrationSensorData;5;15
316;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6f785837148f.ttl;1;Fault detection;Maintainable item;IMS dataset;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;IMS dataset;;;;5;15
317;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_6fbfec565444.ttl;1;Remaining useful life estimation;Maintainable item;Factstopic11_1;Unknown synchronization;Not reported;Factstopic17;case-study type dropped: Maintainable item | case study dropped: Factstopic11_1 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factstopic17;Remaining useful life estimation;;;;;;5;15
318;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_7013b2f1bdc2.ttl;1;Health assessment;Maintainable item;electric drive system;Unknown synchronization;Not reported;monitoring data, vibration, internal resistance, crack length, wear volume, rotational speed, pressure, flow;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;electric drive system;;;monitoring data, vibration, internal resistance, crack length, wear volume, rotational speed, pressure, flow;5;15
319;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_7055937a9b67.ttl;1;Health assessment;Maintainable item;FactsproductionResources;Unknown synchronization;Not reported;input variables;case-study type dropped: Maintainable item | case study dropped: FactsproductionResources | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;;;;input variables;5;15
320;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_70f53c87c69c.ttl;1;Remaining useful life estimation;Maintainable item;FactstoolWear;Unknown synchronization;Not reported;FactscuttingForce, sinusoidal position encoding;case-study type dropped: Maintainable item | case study dropped: FactstoolWear | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;;;;FactscuttingForce, sinusoidal position encoding;5;15
321;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_714558e87c38.ttl;1;Remaining useful life estimation;Maintainable item;LIBs for electric vehicles;Unknown synchronization;Not reported;multi-domain feature, degradation-relevant descriptor, M-score, FactsfeatureSetVoltageCurrentTemperatureCapacity;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;LIBs for electric vehicles;;;multi-domain feature, degradation-relevant descriptor, M-score, FactsfeatureSetVoltageCurrentTemperatureCapacity;5;15
322;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_71c28b6582e1.ttl;2;Remaining useful life estimation;Maintainable item;battery;Unknown synchronization;Not reported;FactsBatteryCapacity, FactsHealthFeatures;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;battery;;;FactsBatteryCapacity, FactsHealthFeatures;5;15
323;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_71fa2076b97e.ttl;1;Remaining useful life estimation;Maintainable item;assets;Unknown synchronization;Not reported;inputs;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;assets;;;inputs;5;15
324;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_721084846ae4.ttl;1;Fault detection;Maintainable item;Alkaline Water Electrolyzer;Unknown synchronization;Not reported;Factshi1, Factshi2;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Alkaline Water Electrolyzer;;;Factshi1, Factshi2;5;15
325;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_7292d3ea6ac3.ttl;3;One step future state forecast;Maintainable item;railway wagon;Unknown synchronization;Not reported;Factsvar1_27;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factsvar1_27;One step future state forecast;;railway wagon;;;;5;15
326;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_733454952f0f.ttl;1;Fault detection;Maintainable item;machine;Unknown synchronization;Not reported;energy drive signal, Internet of things sensors, vibration signal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;machine;;;energy drive signal, Internet of things sensors, vibration signal;5;15
327;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_74b3bb0b5533.ttl;1;Health assessment;Maintainable item;woven-type carbon fiber-reinforced polymer (CFRP) platelike structure;Unknown synchronization;Not reported;damage indicator (GW);case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;woven-type carbon fiber-reinforced polymer (CFRP) platelike structure;;;damage indicator (GW);5;15
328;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_74edf159492a.ttl;1;Fault detection;Maintainable item;automatic test equipment;Unknown synchronization;Not reported;accelerated life testing, analytics, ATE event logs, cumulative degradation time, drain current, real-time sensor data, robotic arm trajectories, subthreshold leakage;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;automatic test equipment;;;accelerated life testing, analytics, ATE event logs, cumulative degradation time, drain current, real-time sensor data, robotic arm trajectories, subthreshold leakage;5;15
329;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_74f5576c5a23.ttl;1;Health assessment;Maintainable item;engine room;Unknown synchronization;Not reported;FactsvalvePositions;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsvalvePositions;Health assessment;;engine room;;;;5;15
330;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_750c337900f0.ttl;1;Remaining useful life estimation;Maintainable item;industrial centrifuges used in mining;Unknown synchronization;Not reported;contextual factors, sensor temperatures, Factsvar1_21;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;industrial centrifuges used in mining;;;contextual factors, sensor temperatures, Factsvar1_21;5;15
331;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_76220d9772af.ttl;1;Fault detection;Maintainable item;Not reported;Unknown synchronization;Not reported;weather forecast, lightning, precipitation, wind speed;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;weather forecast, lightning, precipitation, wind speed;5;15
332;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_7659e72df266.ttl;1;Fault detection;Maintainable item;double-lap joint;Unknown synchronization;Not reported;cyclic ratcheting strain, intrinsic damage kinetics;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;double-lap joint;;;cyclic ratcheting strain, intrinsic damage kinetics;5;15
333;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_767449fe7ac9.ttl;2;Fault detection;Maintainable item;glass substrate;Unknown synchronization;Not reported;FactsacousticEmissionSignal, FactsaeSensors, FactscuttingForceSignal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;glass substrate;;;FactsacousticEmissionSignal, FactsaeSensors, FactscuttingForceSignal;5;15
334;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_76e792d7d5cf.ttl;1;Fault detection;Maintainable item;FactsXlpeInsulatedCables;Unknown synchronization;Not reported;moisture, age, insulation integrity, load, partial discharges;case-study type dropped: Maintainable item | case study dropped: FactsXlpeInsulatedCables | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;moisture, age, insulation integrity, load, partial discharges;5;15
335;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_7702c17c1722.ttl;1;Fault detection;Maintainable item;analog circuit;Unknown synchronization;Not reported;output response, output voltage, supply current;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;analog circuit;;;output response, output voltage, supply current;5;15
336;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_77d4216c88ff.ttl;2;Fault detection;Maintainable item;Not reported;Unknown synchronization;Not reported;shaft current baseline, shaft voltage signal;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;shaft current baseline, shaft voltage signal;5;15
337;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_78176b462e77.ttl;1;Remaining useful life estimation;Maintainable item;rolling bearing;Unknown synchronization;Not reported;full lifecycle data, high-quality features, performance, vibration signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;rolling bearing;;;full lifecycle data, high-quality features, performance, vibration signals;5;15
338;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_78291a971a19.ttl;1;Health assessment;Maintainable item;capacitor;Unknown synchronization;Not reported;Factsinductance;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Factsinductance;Health assessment;;capacitor;;;;5;15
339;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_785cce318ec7.ttl;2;Remaining useful life estimation;Maintainable item;asset;Unknown synchronization;Not reported;FactsacousticSignals_2;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsacousticSignals_2;Remaining useful life estimation;;asset;;;;5;15
340;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_785cde2f910d.ttl;3;Health assessment;Maintainable item;AC motor;Unknown synchronization;Not reported;dq-axis derived features, Phase currents;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;AC motor;;;dq-axis derived features, Phase currents;5;15
341;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_788697cf9291.ttl;1;Health assessment;Maintainable item;PV system;Unknown synchronization;Not reported;multi-sensor PV data, sensor noise, data gaps, unmodeled disturbances, humidity, panel soiling, partial shading, temperature stress, aging of semiconductor materials, sensor faults, Factsmae1_1;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;PV system;;;multi-sensor PV data, sensor noise, data gaps, unmodeled disturbances, humidity, panel soiling, partial shading, temperature stress, aging of semiconductor materials, sensor faults, Factsmae1_1;5;15
342;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_789b744f30d5.ttl;1;Fault detection;Maintainable item;wheel flat;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;wheel flat;;;;5;15
343;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_78b720ca0af2.ttl;1;Health assessment;Maintainable item;Facts3d_printed_cycloidal_gears;Unknown synchronization;Not reported;FactsworkingParameters;case-study type dropped: Maintainable item | case study dropped: Facts3d_printed_cycloidal_gears | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsworkingParameters;Health assessment;;;;;;5;15
344;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_78bbe354e88e.ttl;1;Fault detection;Maintainable item;FactsinkCores;Unknown synchronization;Not reported;FactspulseTypePneumaticConveyingSignals, FactsstatisticallyNormalizedDistances, FactstimeDomainPulseDescriptors, pulse width, voltage fluctuations, response frequency, air pressure, mechanical wear, pipeline leakage;case-study type dropped: Maintainable item | case study dropped: FactsinkCores | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;FactspulseTypePneumaticConveyingSignals, FactsstatisticallyNormalizedDistances, FactstimeDomainPulseDescriptors, pulse width, voltage fluctuations, response frequency, air pressure, mechanical wear, pipeline leakage;5;15
345;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_7927f1f673b8.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
346;extraction_papers\ontocast_runs\run_500_20260710_185042\output\facts_7a165376264a.ttl;1;Fault detection;Maintainable item;FactscoupledSensorTopologies;Unknown synchronization;Not reported;FactsdomainKnowledge_1, FactsnonLinearInteractions, Factsphase;case-study type dropped: Maintainable item | case study dropped: FactscoupledSensorTopologies | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;FactsdomainKnowledge_1, FactsnonLinearInteractions, Factsphase;5;15
